table,system,inuse
T_MDM_BASIC_CODE,数据交换,Y
T_MDM_BASIC_CODES,数据交换,Y
T_SCLTXXCJ_BASE,追溯,N
T_SCLTXXCJ_BASE_V2,追溯,Y
T_SCLTXXCJ_ENTITY,追溯,N
T_SCLTXXCJ_REGISTER,追溯,N
TASK_FIRE_LOG,,
TASK_GROUP,,
TASK_SCHEDULER,,
TEMP_DEMO,,
TEMPRORY_DEMO,,
TTS_SCLTXXCJ_CGGL,追溯,N
TTS_SCLTXXCJ_CGGL_V2,追溯,Y
TTS_SCLTXXCJ_CHANGERECORD_V2,追溯,Y
TTS_SCLTXXCJ_COMPLAINT,追溯,N
TTS_SCLTXXCJ_COMPLAINT_V2,追溯,Y
TTS_SCLTXXCJ_CPPCHC,追溯,N
TTS_SCLTXXCJ_CPPCHC_V2,追溯,Y
TTS_SCLTXXCJ_CUSTOMER,追溯,N
TTS_SCLTXXCJ_CUSTOMER_V2,追溯,Y
TTS_SCLTXXCJ_ENTITY,追溯,N
TTS_SCLTXXCJ_NOTIFICATION,追溯,N
TTS_SCLTXXCJ_NOTIFICATION_V2,追溯,Y
TTS_SCLTXXCJ_PRODUCT,追溯,N
TTS_SCLTXXCJ_PRODUCT_TYPE,追溯,N
TTS_SCLTXXCJ_PRODUCT_TYPE_V2,追溯,Y
TTS_SCLTXXCJ_PRODUCT_V2,追溯,Y
TTS_SCLTXXCJ_PRODUCTION_MANAGE,追溯,Y
TTS_SCLTXXCJ_PRODUCTYPENAME,追溯,Y
TTS_SCLTXXCJ_PROPOSAL,追溯,N
TTS_SCLTXXCJ_PROPOSAL_V2,追溯,Y
TTS_SCLTXXCJ_REGISTER,追溯,N
TTS_SCLTXXCJ_REGISTER_V2,追溯,Y
TTS_SCLTXXCJ_SCGL,追溯,N
TTS_SCLTXXCJ_SCGL_V2,追溯,Y
TTS_SCLTXXCJ_SLA_PURCHASE,追溯,Y
TTS_SCLTXXCJ_SLA_RECORD_V2,追溯,Y
TTS_SCLTXXCJ_SLAUGHTER_PCHC,追溯,Y
TTS_SCLTXXCJ_SLAUGHTER_RECORD,追溯,Y
TTS_SCLTXXCJ_SLAUGHTER_SALE,追溯,Y
TTS_SCLTXXCJ_SLAUGHTER_SRECORD,追溯,Y
TTS_SCLTXXCJ_SLAUGHTER_STOR,追溯,Y
TTS_SCLTXXCJ_USER,追溯,N
TTS_SCLTXXCJ_USER_CHANGERECORD,追溯,Y
TTS_SCLTXXCJ_USER_V2,追溯,Y
TTS_SCLTXXCJ_USERNUMBER,追溯,Y
TTS_SCLTXXCJ_XSDJ,追溯,N
TTS_SCLTXXCJ_XSDJ_V2,追溯,Y
TTS_SCLTXXCJ_XSDJJL,追溯,N
TTS_SCLTXXCJ_XSDJJL_V2,追溯,Y
TTS_SCLTXXCJ_XSTH,追溯,N
TTS_SCLTXXCJ_XSTH_V2,追溯,Y
TTS_TEMP_XSJL,追溯,N
TTS_TEMP_XSJL_V2,追溯,Y
